##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
3,61,6.0E-6,1.22E-4,9.25206233775306E-10
3,62,6.0E-6,1.24E-4,9.251075161616544E-10
3,63,6.0E-6,1.26E-4,9.25040703444128E-10
3,64,6.0E-6,1.28E-4,9.249536515248766E-10
3,65,6.0E-6,1.3E-4,9.248399663699124E-10
3,66,6.0E-6,1.3199999999999998E-4,9.248355307501442E-10
3,67,6.0E-6,1.34E-4,9.247143712611628E-10
3,68,6.0E-6,1.36E-4,9.247056585515905E-10
3,69,6.0E-6,1.38E-4,9.245617989905945E-10
3,70,6.0E-6,1.4E-4,9.244591671799604E-10
3,71,6.0E-6,1.4199999999999998E-4,9.242647117121176E-10
3,72,6.0E-6,1.44E-4,9.242490593640456E-10
3,73,6.0E-6,1.46E-4,9.241121397181149E-10
3,74,6.0E-6,1.48E-4,9.240440170812418E-10
3,75,6.0E-6,1.5E-4,9.238980303727843E-10
3,76,6.0E-6,1.5199999999999998E-4,9.238886816608713E-10
3,77,6.0E-6,1.54E-4,9.237655197323565E-10
3,78,6.0E-6,1.56E-4,9.236712976546029E-10
3,79,6.0E-6,1.58E-4,9.235808840939468E-10
3,80,6.0E-6,1.5999999999999999E-4,9.234352600948395E-10
3,81,6.0E-6,1.6199999999999998E-4,9.234313137123171E-10
3,82,6.0E-6,1.64E-4,9.233682174415425E-10
3,83,6.0E-6,1.66E-4,9.232698464474792E-10
3,84,6.0E-6,1.68E-4,9.231505995662407E-10
3,85,6.0E-6,1.6999999999999999E-4,9.23130925416845E-10
3,86,6.0E-6,1.7199999999999998E-4,9.230922655096901E-10
3,87,6.0E-6,1.74E-4,9.229864712903189E-10
3,88,6.0E-6,1.76E-4,9.229729887117118E-10
3,89,6.0E-6,1.78E-4,9.228901301803162E-10
4,0,8.0E-6,0.0,9.231815249043627E-10
4,1,8.0E-6,2.0E-6,9.232057042889507E-10
4,2,8.0E-6,4.0E-6,9.233355294401951E-10
4,3,8.0E-6,6.0E-6,9.233730584185694E-10
4,4,8.0E-6,8.0E-6,9.23450762266615E-10
4,5,8.0E-6,9.999999999999999E-6,9.235308961175822E-10
4,6,8.0E-6,1.2E-5,9.236214555548784E-10
4,7,8.0E-6,1.4E-5,9.236891900679595E-10
4,8,8.0E-6,1.6E-5,9.237528198701759E-10
4,9,8.0E-6,1.8E-5,9.238475736047439E-10
4,10,8.0E-6,1.9999999999999998E-5,9.239303115314416E-10
4,11,8.0E-6,2.2E-5,9.240082517322815E-10
4,12,8.0E-6,2.4E-5,9.241270726476976E-10
4,13,8.0E-6,2.6E-5,9.241981402416354E-10
4,14,8.0E-6,2.8E-5,9.243341318211897E-10
4,15,8.0E-6,2.9999999999999997E-5,9.243856226043808E-10
4,16,8.0E-6,3.2E-5,9.245032195673645E-10
4,17,8.0E-6,3.4E-5,9.245230222169676E-10
4,18,8.0E-6,3.6E-5,9.246061526708777E-10
4,19,8.0E-6,3.7999999999999995E-5,9.24752085472382E-10
4,20,8.0E-6,3.9999999999999996E-5,9.248362714317077E-10
4,21,8.0E-6,4.2E-5,9.249168560010468E-10
4,22,8.0E-6,4.4E-5,9.250402456222913E-10
4,23,8.0E-6,4.6E-5,9.250967007694374E-10
